"effect","group","term","estimate","std.error","statistic","df","p.value","abs.estimate","plus.minus","log.estimate","log.std.error","sig.flag","conf.low","conf.high","log.conf.low","log.conf.high","ci95.low","ci95.high","experiment","trial","sample ID","hypothesis","Combined ID"
"fixed",NA,"days.from.injection",6.36052216475719,8.51207642928952,0.747235086244177,176.227028874556,0.45591751802153,6.36052216475719,"p",0.803492770359735,0.930035514465738,"NS",-2.15155426453234,14.8725985940467,-0.126542744106003,1.73352828482547,-10.3231476366503,23.0441919661647,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"days2",1.62435632904357,0.373451280492199,4.34958029037339,175.220182004394,2.3102011542689e-05,1.62435632904357,"p",0.210681304931305,0.427766047110935,"S",1.25090504855137,1.99780760953577,-0.217084742179629,0.63844735204224,0.892391819278862,2.35632083880828,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"treatmentAnti-PD1",137.785619061434,73.3296721369871,1.87898861465024,41.1102610054322,0.0673485035929053,137.785619061434,"p",2.13920389182282,1.8652797432335,"S",64.4559469244465,211.115291198421,0.273924148589319,4.00448363505632,-5.94053832706109,281.511776449928,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"gavagePost-BRB",74.2858606799271,75.0745950187899,0.989493991427254,37.981351587278,0.328683623321677,74.2858606799271,"p",1.87090615948007,1.87549299812604,"NS",-0.788734338862824,149.360455698717,-0.00458683864597331,3.74639915760611,-72.8603455569011,221.432066916755,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"days2:treatmentAnti-PD1",-1.79652921534398,0.226989783236069,-7.91458183593924,175.892071607625,2.67322882893762e-13,1.79652921534398,"n",-0.254434284139893,0.643993689873189,"S",-2.02351899858004,-1.56953943210791,-0.898427974013082,0.389559405733296,-2.24142919048667,-1.35162924020128,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"days2:gavagePost-BRB",0.117760718074693,0.234723955293666,0.501698763244516,176.866280159352,0.616503370857035,0.117760718074693,"p",-0.928999554782001,0.629442585216282,"NS",-0.116963237218973,0.352484673368359,-1.55844213999828,-0.299556969565719,-0.342298234300892,0.577819670450278,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"treatmentAnti-PD1:gavagePost-BRB",-55.1830840224753,97.7411060885943,-0.564584198305024,37.9954853832387,0.575674825603109,55.1830840224753,"n",-1.74180596828009,1.99007724941954,"NS",-152.92419011107,42.558022066119,-3.73188321769963,0.24827128113945,-246.75565195612,136.38948391117,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"days2:treatmentAnti-PD1:gavagePost-BRB",-0.181802343333153,0.303145725562651,-0.599719303301145,176.58225755345,0.549462082360122,0.181802343333153,"n",0.740400523258722,0.518348551056399,"NS",-0.484948068895804,0.121343382229498,0.222051972202323,1.25874907431512,-0.775967965435949,0.412363278769643,"mimic1,6,7","BEWELL","HONC60-55","Random Sample","Random (55)"
"fixed",NA,"days.from.injection",-76.7953987842065,28.221748526155,-2.72114248034756,56.6987508637341,0.00862439727909633,76.7953987842065,"n",-1.88533519994698,1.45058391770096,"S",-105.017147310361,-48.5736502580515,-3.33591911764795,-0.434751282246022,-132.11002589547,-21.4807716729427,"mimic4","BEWELL","HONC60-84","Random Sample","Random (84)"
"fixed",NA,"days2",5.38278706071395,1.02081586277231,5.27302450619789,56.7470348064562,2.17191466447443e-06,5.38278706071395,"p",0.731007199769974,0.00894741006532904,"S",4.36197119794164,6.40360292348627,0.722059789704645,0.739954609835303,3.38198796968022,7.38358615174769,"mimic4","BEWELL","HONC60-84","Random Sample","Random (84)"
