"KO","Function"
"K07321","CO dehydrogenase maturation factor"
"K07340","inner membrane protein"
"K07404","6-phosphogluconolactonase [EC:3.1.1.31]"
"K07448","restriction system protein"
"K07487","transposase"
"K07491","REP-associated tyrosine transposase"
"K07646","two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"
"K07667","two-component system, OmpR family, KDP operon response regulator KdpE"
"K07862","serine/threonine transporter"
"K08281","nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]"
"K08302","tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]"
"K09121","pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"
"K09132","uncharacterized protein"
"K09691","homopolymeric O-antigen transport system ATP-binding protein [EC:7.5.2.14]"
"K09692","teichoic acid transport system permease protein"
"K09693","teichoic acid transport system ATP-binding protein [EC:7.5.2.4]"
"K09702","uncharacterized protein"
"K09706","uncharacterized protein"
"K09777","extracellular matrix regulatory protein A"
"K09779","uncharacterized protein"
"K09815","zinc transport system substrate-binding protein"
"K09936","bacterial/archaeal transporter family-2 protein"
"K10254","oleate hydratase [EC:4.2.1.53]"
"K10439","ribose transport system substrate-binding protein"
"K10441","ribose transport system ATP-binding protein [EC:7.5.2.7]"
"K10543","D-xylose transport system substrate-binding protein"
"K10546","putative multiple sugar transport system substrate-binding protein"
"K10547","putative multiple sugar transport system permease protein"
"K10548","putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
"K11184","catabolite repression HPr-like protein"
"K11214","sedoheptulokinase [EC:2.7.1.14]"
"K12510","tight adherence protein B"
"K12511","tight adherence protein C"
"K13566","omega-amidase [EC:3.5.1.3]"
"K13922","propionaldehyde dehydrogenase [EC:1.2.1.87]"
"K13940","dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]"
"K14138","acetyl-CoA synthase [EC:2.3.1.169]"
"K15023","5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]"
"K15024","putative phosphotransacetylase [EC:2.3.1.8]"
"K15460","tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]"
"K15923","alpha-L-fucosidase 2 [EC:3.2.1.51]"
"K15984","16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]"
"K16789","thiamine transporter"
"K16870","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]"
"K17103","CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"
"K17836","beta-lactamase class A [EC:3.5.2.6]"
"K18640","plasmid segregation protein ParM"
"K19221","cob(I)alamin adenosyltransferase [EC:2.5.1.17]"
"K19334","biofilm protein TabA"
"K21467","penicillin-binding protein 3"
"K22391","GTP cyclohydrolase I [EC:3.5.4.16]"
"K22476","N-acetylglutamate synthase [EC:2.3.1.1]"
"K22522","cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]"
"K22605","3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
"K23060","arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]"
"K23163","sulfate/thiosulfate transport system substrate-binding protein"
"K23393","lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]"
"K25007","methylenetetrahydrofolate reductase (NADH) small subunit"
"K25008","ion-translocating oxidoreductase complex subunit C [EC:7.-.-.-]"
"K25142","linearmycin/streptolysin S transport system permease protein"
"K25144","linearmycin/streptolysin S transport system ATP-binding protein"
"K27264","propanediol dehydratase-reactivating factor large subunit"
"K27265","propanediol dehydratase-reactivating factor small subunit"
"K27270","corrinoid adenosyltransferase [EC:2.5.1.-]"
"K27271","cobalamin reductase"
"K27272","bacterial microcompartment shell protein"
