Taxa,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,TaxLev
Verrucomicrobia,145.07220588965959,4.699102002457051,1.4635841634378668,3.2106810936100576,0.0013242080187463364,0.011917872168717028,Phylum
Cyanobacteria,239.79434440852245,2.4045447066148227,1.3488835226833868,1.7826184886826757,0.07464842809487487,0.33591792642693696,Phylum
Actinobacteria,35.7307251189219,1.9627410656281836,1.4788411106612,1.3272156497939314,0.18443735695713798,0.4999042725960975,Phylum
Deferribacteres,22.429069783821255,2.2078580992734564,1.896897451479493,1.1639311853950927,0.24445190033576872,0.4999042725960975,Phylum
Firmicutes,13100.608069114307,-0.621141181990476,0.6009916533950109,-1.0335271354962088,0.3013572784653472,0.4999042725960975,Phylum
Lentisphaerae,0.7138843162471438,3.1468739111122357,3.252417168242717,0.9675492866779121,0.333269515064065,0.4999042725960975,Phylum
Saccharibacteria,0.7299602888399027,-2.6701544333769833,3.2757491119336266,-0.8151278813293581,0.41499911364518893,0.5335702889723858,Phylum
p_unclassified_Bacteria,101.32524982496486,-0.33239179667411645,0.54509830213714106,-0.6097832177626011,0.5420054199789889,0.6097560974763625,Phylum
Bacteroidetes,343.0807270035947,0.1847946447780428,0.616174667272426,0.2999062678056197,0.764248653260936,0.764248653260936,Phylum
Proteobacteria,254.66190434527206,2.9495651737900386,1.0411781592150893,2.8329111090974295,NA,NA,Phylum
Tenericutes,26.642908512999952,-2.7078162025929737,1.2576893140564365,-2.1530088332065334,NA,NA,Phylum
p_unclassified_Eukaryota,0,NA,NA,NA,NA,NA,Phylum
Verrucomicrobiae,153.77432345480597,4.866379969935054,1.48559163033751,3.2757184885522452,0.0010539355716559843,0.023186582576431653,Class
Coriobacteriia,30.18430327468512,3.4477322033121527,1.2862548746030154,2.6804424779157765,0.007352489983372382,0.0808773898170962,Class
Mollicutes,23.014014873218976,-2.5919912930753637,1.1665942044357456,-2.221844822492539,0.026293794407745544,0.192821158990134,Class
Bacilli,55.42066576520231,1.4230828505260322,0.7197905681324075,1.97707904706005,0.04803269579196053,0.26417982685578295,Class
Melainabacteria,251.11465267153937,2.4002421428590415,1.3844900524763666,1.7336651415919175,0.08297751492719133,0.36510106567964185,Class
Clostridia,12334.986687476734,-0.5644181710879,0.43900772272168986,-1.2856679777492537,0.19855896148943677,0.7199474775803223,Class
Deferribacteres,21.23039773195475,1.9025898956998362,1.9826635440719538,0.9596130928964054,0.3372499770632069,0.7199474775803223,Class
Deltaproteobacteria,3.369268468287122,1.1321168209681671,1.4080023782298687,0.8040588840421257,0.42136296866566275,0.7199474775803223,Class
Lentisphaeria,0.7982158152973583,3.3059642626084598,3.245746212877722,1.018552913808177,0.30841526800131824,0.7199474775803223,Class
Unknown_Class,0.7744727585753729,-2.780289986496248,3.27152076022768,-0.849846352893923,0.39541051496999896,0.7199474775803223,Class
c_unclassified_Cyanobacteria,0.6651798460811319,3.0422787007471275,3.256054670433618,0.9343450920441635,0.350125911309684,0.7199474775803223,Class
c_unclassified_Proteobacteria,4.09213573557368,2.3651976537821353,2.707528515015038,0.8735633403916333,0.38235609782580177,0.7199474775803223,Class
c_unclassified_p_unclassified_Bacteria,103.32905211281043,-0.4197830607977412,0.5266726501818878,-0.7970473892137137,0.42542350947928137,0.7199474775803223,Class
Gammaproteobacteria,0.4140106357429238,-1.8757253858337917,3.3105896527768213,-0.566583473811226,0.5709972055714952,0.8061403710272141,Class
Sphingobacteriia,0.26607193843245275,1.8092788264823711,3.3244808085327686,0.544228988129091,0.5862839062016103,0.8061403710272141,Class
c_unclassified_Firmicutes,19.617785124978,0.722515603797515,1.1119885194701753,0.64975095618952,0.5158531031656084,0.8061403710272141,Class
Cytophagia,2.789124393418423,0.5260213239269256,1.9380486497487956,0.2714180183222475,0.7860695453765695,0.8673252435061779,Class
Epsilonproteobacteria,0.6853523112675507,-0.9169190484339875,3.0260338656828543,-0.30301017408708864,0.7618821080802415,0.8673252435061779,Class
Erysipelotrichia,46.245181661391364,-0.3287122448325349,0.7759829764015467,-0.4236075465944716,0.6718520507191039,0.8673252435061779,Class
c_unclassified_Bacteroidetes,44.667214988528066,0.15691733819178502,0.5848835040048941,0.2682881926354893,0.7884774940965253,0.8673252435061779,Class
Bacteroidia,289.5833523491523,0.10026097666488068,0.5613753266570489,0.17859883023703202,0.8582527130568047,0.888447153724454,Class
Betaproteobacteria,20.858286340275196,-0.14848256177940602,1.0585528950854322,-0.14026938329560046,0.888447153724454,0.888447153724454,Class
Actinobacteria,5.8628286800915825,-3.8061362925090925,2.8018675244385536,-1.3584283551278098,NA,NA,Class
