effect,group,term,estimate,std.error,statistic,df,p.value,abs.estimate,plus.minus,log.estimate,log.std.error,sig.flag,conf.low,conf.high,log.conf.low,log.conf.high,ci95.low,ci95.high,sample ID,experiment,trial,hypothesis,Combined ID,term.adj
fixed,NA,days2:treatmentAnti-PD1,-1.796529215343224,0.22698978323688376,-7.914581835907513,175.8920714317182,2.6732288396693214e-13,1.796529215343224,n,-0.25443428413971153,0.6439936898716302,S,-2.0235189985801076,-1.5695394321063403,-0.8984279740113417,0.38955940573191866,-2.241429190487516,-1.3516292401989318,HONC60-55,"mimic1,6,7",BEWELL,Random Sample,Random (55),Anti-PD1
fixed,NA,days2:gavagePost-BRB,0.11776071807745155,0.23472395529448534,0.5016987632545158,176.86627999887457,0.6165033708505796,0.11776071807745155,p,-0.928999554771828,0.6294425852147651,NS,-0.11696323721703379,0.3524846733719369,-1.5584421399865933,-0.2995569695570629,-0.3422982342997397,0.5778196704546428,HONC60-55,"mimic1,6,7",BEWELL,Random Sample,Random (55),Gavage
fixed,NA,days2:treatmentAnti-PD1:gavagePost-BRB,-0.18180234333669026,0.3031457255637183,-0.5997193033107014,176.58225745319393,0.5494620823542022,0.18180234333669026,n,0.7404005232502725,0.5183485510548698,NS,-0.4849480689004086,0.12134338222702806,0.22205197219540274,1.2587490743051424,-0.7759679654415781,0.4123632787681976,HONC60-55,"mimic1,6,7",BEWELL,Random Sample,Random (55),Anti-PD1:Gavage
fixed,NA,days2:treatmentPD1,0.5181724404642954,0.43844092674414553,1.1818523519513442,59.72303973613929,0.24194875808058477,0.5181724404642954,p,-0.2855256891359239,0.3580889129417071,NS,0.07973151372014992,0.9566133672084409,-0.643614602077631,0.07256322380578317,-0.34117177595422976,1.3775166568828205,HONC60-102,mimic5,BEWELL,Random Sample,Random (102),Anti-PD1
fixed,NA,days2:gavagePost-BRB,2.1937864578501016,0.47347910477784994,4.633333204597058,61.360463701305484,1.9243809306321027e-5,2.1937864578501016,p,0.341194351273856,0.32469918219378785,S,1.7203073530722517,2.667265562627952,0.01649516908006815,0.6658935334676439,1.2657674124855158,3.1218055032146874,HONC60-102,mimic5,BEWELL,Random Sample,Random (102),Gavage
fixed,NA,days2:treatmentPD1:gavagePost-BRB,-1.8710096403887329,0.6330850275545957,-2.955384441195589,59.81488876944038,0.004462087181623904,1.8710096403887329,n,-0.2720760252107763,0.19853795741094157,S,-2.5040946679433285,-1.2379246128341372,-0.47061398262171783,-0.07353806779983471,-3.11185629439574,-0.6301629863817253,HONC60-102,mimic5,BEWELL,Random Sample,Random (102),Anti-PD1:Gavage
fixed,NA,days2:treatmentAnti-PD1,-1.9849556818933496,0.2630035968200566,-7.5472567899952665,72.00000015856027,1.0703603414094851e-10,1.9849556818933496,n,-0.29775081471423204,0.5800383120865864,S,-2.247959278713406,-1.721952085073293,-0.8777891268008184,0.28228749737235437,-2.5004427316606606,-1.4694686321260386,HONC60-68,mimic10,BEWELL,Roseburia,Roseburia (68),Anti-PD1
fixed,NA,days2:gavagePost-BRB,-1.1535065950453898,0.29404696040829714,-3.922865223444905,72.0000001491748,1.9783014366775233e-4,1.1535065950453898,n,-0.06202008189450527,0.531583305582558,S,-1.447553555453687,-0.8594596346370926,-0.5936033874770632,0.4695632236880527,-1.7298386374456522,-0.5771745526451274,HONC60-68,mimic10,BEWELL,Roseburia,Roseburia (68),Gavage
fixed,NA,days2:treatmentAnti-PD1:gavagePost-BRB,0.8833935202292824,0.394505395230085,2.2392431913740145,72.00000015108434,0.028230093516992055,0.8833935202292824,p,-0.053845790654928505,0.40394705303090495,S,0.4888881249991974,1.2778989154593674,-0.45779284368583345,0.35010126237597644,0.11016294557831585,1.6566240948802489,HONC60-68,mimic10,BEWELL,Roseburia,Roseburia (68),Anti-PD1:Gavage
fixed,NA,days2:treatmentAnti-PD1,-2.9225575471705,0.24216592067258547,-12.068409704608571,78.15957445593288,1.546434637953413e-19,2.9225575471705,n,-0.46576307147546425,0.6158869739312326,S,-3.1647234678430856,-2.680391626497914,-1.0816500454066968,0.15012390245576834,-3.3972027516887673,-2.4479123426522325,HONC60-79,mimic11,BEWELL,Lachnospira,Lachnospira (79),Anti-PD1
